Year,Exporter,Importer,HSCode,Weight,Value,EstimationMethod,UnitPrice($/kg)
2024,GRC,TGO,6309,232106.0,98166.496,Original,0.422938209
2024,LTU,KGZ,6310,12000.0,5046.0,Original,0.4205
2024,NOR,GIN,6309,2750.0,1163.242,Original,0.422997091
2024,POL,ZAF,6309,128705.0,54624.0,Original,0.424412416
2024,MAR,TUR,6310,906997.8,378106.902,Original,0.416877419
2024,PHL,JPN,6310,972438.36,409380.0,Original,0.420982981
2024,POL,BLR,6310,9523152.0,3988991.0,Original,0.418872974
2024,IND,AGO,6310,4451.0,1849.44,Original,0.415511121
2024,ESP,SVK,6309,186965.0,78367.878,Original,0.419158014
2024,ESP,ARE,6309,51444760.0,21352053.57,Original,0.415048171
2024,ESP,TZA,6310,9500.0,3981.925,Original,0.41915
2024,TZA,COD,6309,152575.0,64697.485,Original,0.42403726
2024,BEL,IRQ,6310,24500.0,10607.329,Original,0.432952204
2024,LKA,PAK,6309,4681.0,1992.107,Original,0.425572954
2024,CZE,KEN,6309,25005.0,10788.0,Original,0.431433713
